,prices,car_names,cv,fuel,trasmission,date,location,type_seller,km,calender,etat
833,Prix : 41 500 DT,Particulier Vend une Peugeot 508 Présidentielle 1.6 VTi 16v,7 CV,Essence,Pilotée,26 Sept. 2018,La Marsa,particulier,120000 Km,05-2013,Excellent
834,Prix : 40 000 DT,A vendre,10 CV,Diesel,Manuelle,25 Sept. 2018,El Omrane Superieur,particulier,12300 Km,08-2015,Excellent
835,Prix : 10 000 DT,A VENDRE POLO3,4 CV,Essence,Manuelle,25 Sept. 2018,El Menzah,particulier,243000 Km,08-1998,Très bon
836,Prix : 20 000 DT,Dacia Logan Commerciale,6 CV,Diesel,Manuelle,25 Sept. 2018,Ezzahra,particulier,168000 Km,04-2012,Très bon
837,Prix : 76 000 DT,Audi A3 2.0 TDI 150,8 CV,Diesel,Automatique,24 Sept. 2018,Megrine,particulier,100000 Km,2014,Neuf
838,Prix : 68 000 DT,Passat carrat tayara,5 CV,Diesel,Manuelle,19 Sept. 2018,Akouda,particulier,149000 Km,08-2013,Excellent
839,Prix : 18 000 DT,Megane essence coupé 1.4 16v,6 CV,Essence,Manuelle,19 Sept. 2018,Megrine,particulier,223 Km,12-2005,D'origine
840,Prix : 50 000 DT,RENAULT CAPTUR 2016 TOUTES OPTIONS pay orig.Arabie Saudite. Première main femme.,6 CV,Essence,Automatique,16 Sept. 2018,Kelibia,particulier,36235 Km,10-2015,Excellent
841,Prix : 95 000 DT,A vendre unne belle voiture,11 CV,Essence,Automatique,14 Sept. 2018,Ksour Essaf,particulier,89000 Km,10-2012,Excellent
842,Prix : 55 000 DT,Kia sorento 4cyl 2400cc voiture libyen,10 CV,Essence,Automatique,6 Sept. 2018,Bou Mhel El Bassatine,particulier,17500 Km,05-2015,Excellent
843,Prix : 19 000 DT,CHEVROLET AVEO,5 CV,Essence,Manuelle,6 Sept. 2018,Ezzahra,particulier,113000 Km,12-2011,Très bon
844,Prix : 26 000 DT,Megane 3 a vendre,5 CV,Diesel,Manuelle,6 Sept. 2018,Sidi Bouzid Ouest,particulier,150000 Km,07-2011,Très bon
845,Prix : 25 500 DT,Seat ibiza,5 CV,Essence,Manuelle,3 Sept. 2018,Ras Jebel,particulier,85000 Km,2014,Très bon
846,Prix : 38 000 DT,A vendre une BMW serie 1 (116i),7 CV,Essence,Manuelle,2 Sept. 2018,El Mourouj,particulier,138 Km,05-2010,Excellent
847,Prix : 17 300 DT,Citroen C3,5 CV,Essence,Manuelle,28 Août 2018,Moknine,particulier,142578 Km,,Très bon
848,Prix : 97 000 DT,Porsche Cayenne v6,21 CV,Essence,Automatique,28 Août 2018,Sousse Ville,particulier,70000 Km,2008,Très bon
849,Prix : 11 000 DT,POLO 5,4 CV,Essence,Manuelle,27 Août 2018,Le Bardo,particulier,0 Km,2003,Bon
850,Prix : 61 900 DT,Kia sportage,7 CV,Diesel,Manuelle,26 Août 2018,Ariana Ville,particulier,139 Km,2012,Très bon
851,Prix : 13 000 DT,à vendre polo 5,4 CV,Essence,Manuelle,26 Août 2018,Le Bardo,particulier,0 Km,2003,Bon
852,Prix : 19 000 DT,Fiat punto grandi,4 CV,Essence,Manuelle,26 Août 2018,Tunis,particulier,89000 Km,2014,Très bon
853,Prix : 18 700 DT,"Voiture C3 bleue (essence 4ch) très bon état, 91000 km, 1ère main (2009).",4 CV,Essence,Manuelle,26 Août 2018,Sousse Ville,particulier,91000 Km,12-2008,Très bon
854,Prix : 37 000 DT,Seat leon,5 CV,Essence,Manuelle,23 Août 2018,Ariana Ville,particulier,94000 Km,2015,Très bon
855,Prix : 26 700 DT,Fiat 500,4 CV,Essence,Manuelle,23 Août 2018,Tunis,particulier,98000 Km,2010,Très bon
856,Prix : 17 500 DT,Fiat Panda,4 CV,Essence,Manuelle,23 Août 2018,Ariana Ville,particulier,190000 Km,2006,Très bon
857,Prix : 22 000 DT,Astra h ou echange,5 CV,Essence,Manuelle,23 Août 2018,El Ksour,particulier,171000 Km,12-2005,Excellent
858,Prix : 34 500 DT,Clio dynamique,5 CV,Essence,Manuelle,16 Août 2018,La Soukra,particulier,59500 Km,09-2013,Très bon
859,Prix : 33 000 DT,Golf 6 très bon occasion,5 CV,Diesel,Manuelle,16 Août 2018,Ksibet El Mediouni,particulier,192000 Km,05-2010,Très bon
860,Prix : 62 000 DT,New beetle cup neuf,6 CV,Essence,Manuelle,16 Août 2018,Akouda,particulier,45000 Km,08-2014,Excellent
861,Prix : 74 000 DT,Audi A3 unique,5 CV,Diesel,Automatique,14 Août 2018,Akouda,particulier,67000 Km,08-2014,Excellent
862,Prix : 64 000 DT,Golf 7 finition cup neuf,5 CV,Diesel,Manuelle,14 Août 2018,Akouda,particulier,135000 Km,01-2015,Excellent
863,Prix : 25 300 DT,Volkswagen golf 5,6 CV,Diesel,Manuelle,13 Août 2018,Tunis,particulier,202000 Km,2005,Très bon
864,Prix : 21 000 DT,Fiat Doblo,5 CV,Diesel,Manuelle,13 Août 2018,Sousse Jaouhara,particulier,82000 Km,2016,Très bon
865,Prix : 15 500 DT,Ford fiesta,5 CV,Essence,Manuelle,13 Août 2018,Ariana Ville,particulier,176000 Km,2006,Très bon
866,Prix : 22 500 DT,Peugeot 308,6 CV,Essence,Manuelle,11 Août 2018,Sousse Jaouhara,particulier,165000 Km,2009,Très bon
867,Prix : 47 000 DT,BMW série 1 f20,6 CV,Diesel,Manuelle,11 Août 2018,Tunis,particulier,152000 Km,2013,Très bon
